beam,1974,review,100887469,Readability
flink,8446,review,285160885,ArchitecturalFlaw
flink,2363,comment,240791329,BugProne
spark,29795,review,493190061,Convention
tinkerpop,144,summary,0,PoorPerformance
flink,14084,review,554882968,ArchitecturalFlaw
spark,31905,comment,811106021,ArchitecturalFlaw
accumulo,332,comment,368365644,Convention
cloudstack,1705,summary,0,PoorOutput
spark,18567,comment,313762412,PoorTesting
incubator-pinot,5769,review,467200428,PoorOutput
beam,13137,review,522334301,PoorTesting
arrow,6103,summary,0,PoorOutput
groovy,480,comment,275655612,BugProne
pulsar,3019,review,243864237,Convention
beam,5384,review,189163677,DeadDocs
zeppelin,2706,comment,353205540,PoorTesting
druid,3939,review,102355893,Convention
trafodion,115,summary,0,NonCodeArtifact
trafodion,644,review,73953757,PoorPerformance
spark,26108,review,334704586,DeadCode
incubator-mxnet,8015,review,141497578,BugProne
kafka,2937,summary,0,PoorTesting
incubator-heron,3032,comment,437498318,PoorTesting
storm,128,comment,45091287,NotSATD
zeppelin,3497,comment,548180234,PoorTesting
carbondata,432,summary,0,BugProne
spark,21476,review,192476723,NotSATD
superset,12626,summary,0,MissingDocs
spark,3246,review,22343430,DeadCode
jena,151,comment,252431461,ArchitecturalFlaw
flink,6159,review,195443441,Convention
trafficserver,2300,comment,318132384,ArchitecturalFlaw
apisix,2036,review,487762501,MissingDocs
kafka,3325,review,128649545,PoorPerformance
spark,8093,review,36782853,BugProne
carbondata,2836,comment,431731434,BugProne
superset,10728,review,479692093,DeadCode
drill,1892,review,363140288,PoorPerformance
beam,6676,review,233138480,MissingDocs
spark,4363,review,24212525,Convention
spark,23181,review,237952522,Convention
flink,7759,review,258458285,ArchitecturalFlaw
spark,12241,comment,207105529,BugProne
druid,1535,summary,0,PoorTesting
spark,13565,review,66319324,BugProne
incubator-doris,3587,review,425210765,PoorOutput
spark,20194,review,161000312,Convention
spark,1218,review,15828037,DeadCode
flink,4364,review,128512830,PoorTesting
druid,3956,comment,281423634,BugProne
trafficserver,6379,review,373984797,Duplicate
