trafficserver,866,BugProne
flink,1052,PoorPerformance
spark,4105,Duplicate
tajo,308,Convention
tvm,7021,PoorPerformance
systemds,1023,Convention
pulsar,9246,NotSATD
hadoop,2674,Convention
arrow,5508,PoorPerformance
arrow,4322,ArchitecturalFlaw
spark,11006,Convention
flink,11794,PoorOutput
lucene-solr,1802,NotSATD
airflow,5847,Convention
hudi,360,NotSATD
carbondata,432,BugProne
druid,1535,PoorTesting
kafka,7908,DeadDocs
spark,7046,Readability
ignite,2941,BugProne
trafodion,294,NotSATD
storm,1783,MissingDocs
fineract,810,MissingDocs
incubator-brooklyn,83,PoorTesting
madlib,425,MissingDocs
trafficserver,6001,MissingDocs
hadoop,2556,PoorPerformance
couchdb,2426,BugProne
spark,15272,PoorPerformance
trafficcontrol,4821,PoorPerformance
gobblin,1862,PoorPerformance
flink,8136,DeadCode
tvm,7314,PoorPerformance
jmeter,337,BugProne
airflow,7085,ArchitecturalFlaw
incubator-mxnet,11076,PoorPerformance
trafficserver,7279,PoorOutput
druid,4815,PoorTesting
spark,24043,PoorTesting
spark,18887,PoorTesting
incubator-mxnet,13654,MissingDocs
drill,159,PoorTesting
arrow,4515,ArchitecturalFlaw
airflow,2816,DeadDocs
spark,29402,BugProne
camel,4496,BugProne
airflow,730,Duplicate
trafficserver,3322,Readability
nifi,4767,Readability
incubator-doris,3587,PoorOutput
cloudstack,768,DeadCode
accumulo,1995,PoorOutput
netbeans-website,473,PoorPerformance
kafka,7799,DeadCode
spark,7181,ArchitecturalFlaw
spark,20787,Convention
helix,1663,PoorTesting
spark,3651,NotSATD
flink,9082,PoorOutput
kafka,6363,ArchitecturalFlaw
flink,12268,PoorOutput
iceberg,2167,Readability
spark,19460,NotSATD
camel,3171,PoorOutput
incubator-pinot,2068,MissingDocs
orc,570,ArchitecturalFlaw
spark,21200,BugProne
attic-apex-core,479,Readability
spark,28952,ArchitecturalFlaw
storm,215,DeadCode
flink,12042,Readability
qpid-dispatch,1097,Readability
kafka,2405,Duplicate
daffodil,408,Readability
kafka,6521,PoorTesting
kafka,3575,Convention
spark,7842,Convention
incubator-mxnet,10900,ArchitecturalFlaw
spark,15009,Convention
drill,1251,DeadDocs
airflow,12383,BugProne
kafka,5379,Convention
flink,4851,NotSATD
daffodil,291,ArchitecturalFlaw
cloudstack,2578,PoorOutput
spark,10993,DeadCode
incubator-mxnet,12918,BugProne
kafka,6536,Readability
spark,4363,Convention
spark,6959,Convention
arrow,9356,PoorPerformance
beam,3936,PoorPerformance
beam,8270,ArchitecturalFlaw
drill,520,BugProne
spark,23181,Convention
flink,14839,PoorOutput
druid,2806,Duplicate
cassandra,730,Readability
spark,5400,Convention
airflow,2372,Duplicate
nifi,914,Duplicate
carbondata,1321,PoorPerformance
arrow,467,NotSATD
druid,50,PoorPerformance
phoenix,933,Convention
airflow,11132,PoorOutput
cloudstack,2058,Convention
iceberg,1793,ArchitecturalFlaw
flink,13135,Convention
accumulo,1330,Convention
spark,15237,Readability
lucene-solr,2229,NotSATD
incubator-mxnet,15277,Convention
hbase,809,PoorOutput
kafka,5885,Readability
druid,10070,Convention
spark,4588,Convention
spark,22960,DeadCode
spark,448,Duplicate
hudi,2127,Duplicate
flink,8446,ArchitecturalFlaw
spark,24807,ArchitecturalFlaw
spark,4593,PoorPerformance
spark,15148,ArchitecturalFlaw
fineract,1458,PoorPerformance
flink,938,NotSATD
superset,5445,NotSATD
incubator-mxnet,3781,Duplicate
parquet-mr,808,ArchitecturalFlaw
activemq-artemis,2012,PoorPerformance
spark,1541,PoorPerformance
hawq,1321,PoorPerformance
trafficserver,347,Duplicate
parquet-mr,227,DeadCode
tvm,1905,PoorTesting
spark,9682,DeadCode
kafka,2937,PoorTesting
spark,25048,BugProne
flink,14084,ArchitecturalFlaw
incubator-doris,4925,BugProne
spark,31905,ArchitecturalFlaw
tomee,713,NotSATD
flink,10388,PoorTesting
cloudstack,1572,PoorTesting
incubator-mxnet,17808,PoorTesting
kafka,6234,PoorTesting
geode,4189,PoorTesting
incubator-mxnet,12768,PoorTesting
zookeeper,1614,PoorTesting
spark,9297,BugProne
spark,2907,NotSATD
pulsar,43,BugProne
beam,6981,ArchitecturalFlaw
kafka,8105,PoorPerformance
arrow,9626,BugProne
activemq-artemis,2427,ArchitecturalFlaw
trafodion,644,PoorPerformance
kafka,9318,DeadCode
spark,9399,MissingDocs
gobblin,2656,MissingDocs
superset,8867,MissingDocs
kafka,386,MissingDocs
spark,20303,MissingDocs
calcite,782,NotSATD
spark,29104,MissingDocs
couchdb,3015,MissingDocs
nifi,4303,NotSATD
hive,2111,MissingDocs
hudi,2106,Convention
hadoop,575,Readability
beam,6676,MissingDocs
incubator-pinot,4387,MissingDocs
spark,1379,PoorPerformance
carbondata,4078,NotSATD
spark,4533,NotSATD
arrow,4258,PoorPerformance
cxf,561,Duplicate
kafka,1908,NotSATD
zookeeper,1417,Convention
iceberg,1669,PoorPerformance
spark,28370,BugProne
skywalking,4987,PoorPerformance
tvm,4847,PoorPerformance
airflow,1488,DeadCode
trafficserver,2300,ArchitecturalFlaw
spark,224,PoorPerformance
kafka,4001,Convention
nifi,3260,PoorTesting
ignite,4970,PoorTesting
druid,1899,MissingDocs
tvm,1716,MissingDocs
dubbo,2520,Convention
zookeeper,567,MissingDocs
carbondata,3136,MissingDocs
gobblin,104,Convention
skywalking,5293,MissingDocs
skywalking,5685,PoorTesting
druid,6230,ArchitecturalFlaw
geode-native,56,Convention
madlib,243,NotSATD
cloudstack,1295,BugProne
superset,5946,DeadCode
flink,4426,DeadCode
spark,28163,PoorPerformance
airflow,1270,Convention
bookkeeper,1059,Convention
hive,767,ArchitecturalFlaw
spark,20619,BugProne
pulsar,5592,BugProne
lucene-solr,2200,PoorTesting
daffodil,289,PoorTesting
kafka,2143,PoorTesting
guacamole-client,511,PoorTesting
kafka,6239,PoorTesting
incubator-mxnet,12426,PoorOutput
flink,15045,Convention
carbondata,3769,NotSATD
incubator-mxnet,18560,PoorTesting
druid,5102,NotSATD
cloudstack,4490,BugProne
spark,18986,ArchitecturalFlaw
systemds,204,PoorOutput
incubator-heron,81,DeadCode
spark,8744,DeadCode
spark,27612,PoorTesting
flink,6173,ArchitecturalFlaw
guacamole-client,122,Readability
spark,15963,Readability
kafka,3662,NotSATD
arrow,2890,DeadDocs
flink,7759,ArchitecturalFlaw
spark,30204,Duplicate
beam,1706,Readability
incubator-pinot,5700,DeadCode
airflow,12096,PoorPerformance
hadoop,1881,Readability
reef,1054,Duplicate
spark,23062,ArchitecturalFlaw
spark,158,Readability
spark,1218,DeadCode
incubator-mxnet,15371,DeadCode
nifi-minifi-cpp,1040,DeadCode
spark,25626,Readability
systemds,740,Readability
flink,11047,ArchitecturalFlaw
beam,13137,PoorTesting
nifi,1036,PoorPerformance
hive,550,Readability
carbondata,3584,BugProne
brooklyn-server,835,ArchitecturalFlaw
spark,15627,PoorTesting
ignite,8048,Convention
spark,1222,ArchitecturalFlaw
spark,31296,BugProne
dubbo,3162,DeadCode
spark,22154,PoorTesting
ignite,7851,NotSATD
flink,12900,ArchitecturalFlaw
flink,12176,DeadCode
gobblin,1106,BugProne
spark,20194,Convention
spark,21476,NotSATD
openwhisk,4031,PoorTesting
incubator-pinot,4777,BugProne
druid,3928,Readability
ozone,1503,Duplicate
spark,28038,PoorPerformance
spark,4690,PoorOutput
trafficcontrol,3601,BugProne
apisix-dashboard,979,ArchitecturalFlaw
spark,5355,Convention
incubator-heron,1820,Readability
beam,92,PoorTesting
flink,14734,ArchitecturalFlaw
kafka,5068,BugProne
spark,9193,Readability
incubator-doris,5219,PoorOutput
drill,1892,PoorPerformance
calcite,2369,PoorTesting
hadoop,802,Readability
kafka,3325,PoorPerformance
spark,15971,BugProne
lucene-solr,1303,DeadDocs
superset,10728,DeadCode
spark,19911,NotSATD
druid,1265,Readability
cassandra,711,PoorTesting
ozone,1233,Convention
druid,3939,Convention
spark,29795,Convention
druid,5418,DeadCode
kafka,7984,ArchitecturalFlaw
spark,19763,BugProne
kafka,2929,DeadCode
spark,228,NotSATD
beam,10227,ArchitecturalFlaw
storm,1480,ArchitecturalFlaw
incubator-heron,3479,BugProne
druid,2231,ArchitecturalFlaw
spark,25651,Convention
spark,25785,BugProne
spark,30392,PoorPerformance
cloudstack,4448,ArchitecturalFlaw
storm,1781,ArchitecturalFlaw
superset,12626,MissingDocs
arrow,6103,PoorOutput
carbondata,2878,PoorOutput
zookeeper,1328,Readability
hbase,2167,PoorPerformance
trafodion,115,NonCodeArtifact
tinkerpop,712,BugProne
storm,2241,NotSATD
incubator-mxnet,9552,BugProne
nifi,71,BugProne
flink,439,PoorOutput
helix,1447,PoorTesting
spark,19143,PoorTesting
kafka,8402,PoorTesting
flink,5901,PoorTesting
druid,3788,PoorTesting
incubator-heron,3032,PoorTesting
zeppelin,2706,PoorTesting
incubator-pinot,5769,PoorOutput
spark,1270,PoorPerformance
pulsar,5032,ArchitecturalFlaw
incubator-mxnet,8015,BugProne
kafka,764,ArchitecturalFlaw
samza,230,ArchitecturalFlaw
spark,22847,PoorPerformance
spark,7626,NotSATD
incubator-mxnet,11502,MissingDocs
beam,4185,MissingDocs
incubator-pinot,4397,MissingDocs
flink,12260,MissingDocs
hbase,1077,MissingDocs
flink,6076,Readability
nifi,1553,DeadDocs
kafka,241,Readability
nifi,4369,Readability
incubator-mxnet,8302,MissingDocs
beam,12241,MissingDocs
apisix,2036,MissingDocs
kafka,158,NotSATD
gobblin,2788,Readability
beam,5049,BugProne
airflow,3090,DeadCode
storm,128,NotSATD
spark,2761,Readability
spark,9432,DeadCode
kafka,5221,PoorPerformance
arrow,1804,Readability
spark,1561,NotSATD
activemq-artemis,3455,NotSATD
airflow,1435,PoorPerformance
spark,28661,Readability
kafka,6517,BugProne
spark,17582,ArchitecturalFlaw
hive,1780,Readability
pulsar,2888,Duplicate
spark,23260,ArchitecturalFlaw
dubbo,2741,PoorTesting
ignite,6069,PoorTesting
trafficserver,5380,Readability
shardingsphere-elasticjob,1608,Readability
flink,5663,NotSATD
netbeans,968,NonCodeArtifact
druid,2683,MissingDocs
beam,539,MissingDocs
flink,1813,MissingDocs
spark,16892,MissingDocs
lucene-solr,133,PoorPerformance
spark,24300,Readability
spark,5511,BugProne
flink,10753,MissingDocs
kafka,6680,BugProne
accumulo,221,PoorOutput
kafka,4691,PoorOutput
zeppelin,3897,DeadCode
hudi,1664,PoorPerformance
spark,26138,NotSATD
kafka,4138,PoorTesting
arrow,7885,PoorTesting
spark,28841,PoorTesting
flink,8438,PoorTesting
flink,9977,PoorTesting
spark,29403,PoorTesting
samza,347,PoorTesting
spark,6593,DeadDocs
pulsar,7601,NotSATD
kafka,6475,PoorTesting
dubbo,1906,PoorTesting
kafka,9001,ArchitecturalFlaw
airflow,13728,BugProne
activemq-artemis,2241,ArchitecturalFlaw
