project,pull_number,id,url,before,after
drill,1953,379551973,https://github.com/apache/drill/pull/1953#discussion_r379551973,72e7643602b546b6a52adcd2a5571e1953ea0739,1e192c41853cd078abc404ac8ab799f0733576d9
orc,570,528911518,https://github.com/apache/orc/pull/570#discussion_r528911518,None,None
calcite,2286,534475582,https://github.com/apache/calcite/pull/2286#discussion_r534475582,None,None
spark,15971,89209660,https://github.com/apache/spark/pull/15971#discussion_r89209660,5dd3630d6a937ba8634054940543509d9186e68e,b0ad319f43d39181c15f0b30b9bb45c8dc0ee279
beam,539,228871382,https://github.com/apache/beam/pull/539#issuecomment-228871382,None,None
nifi-minifi-cpp,1040,605509404,https://github.com/apache/nifi-minifi-cpp/pull/1040#discussion_r605509404,4de8f8df2f27fe31d04681b45640592e2acbb96f,de54db8c5e9ed68b9dd1d1d8b1367c0300d22e57
spark,2685,61052515,https://github.com/apache/spark/pull/2685#issuecomment-61052515,fa21d090c8f9ac64b9c2f60c7b3f088760b1f6fc,18fb1fff1c2a097604b573fffba92b9a7a3f3e8f
cxf,561,498837564,https://github.com/apache/cxf/pull/561#issuecomment-498837564,98d025d7c02648590da2d7b2da70cd2efe4595ca,5a797df973104973cdd0c2269436125dcbe17afb
hive,2111,607667423,https://github.com/apache/hive/pull/2111#discussion_r607667423,None,None
skywalking,5293,673764279,https://github.com/apache/skywalking/pull/5293#issuecomment-673764279,1a20492dcf4447a9abf21cfc2e17b42ca01e6a94,f67f493b9bfc82e867fe82a1f3832295855dea74
attic-stratos,192,23697450,https://github.com/apache/attic-stratos/pull/192#discussion_r23697450,None,None
spark,15148,259376702,https://github.com/apache/spark/pull/15148#issuecomment-259376702,None,None
nifi,4767,561227339,https://github.com/apache/nifi/pull/4767#discussion_r561227339,None,None
flink,966,126706999,https://github.com/apache/flink/pull/966#issuecomment-126706999,None,None
hbase,1482,416140357,https://github.com/apache/hbase/pull/1482#discussion_r416140357,None,None
spark,24807,500879466,https://github.com/apache/spark/pull/24807#issuecomment-500879466,843491fbd21f79614e8eff9e1af49ba263898451,92c7b22ab5a1db0f25b4b418277b793b0e851491
parquet-mr,808,672774756,https://github.com/apache/parquet-mr/pull/808#issuecomment-672774756,None,None
tajo,308,67804082,https://github.com/apache/tajo/pull/308#issuecomment-67804082,None,None
flink,12260,429716465,https://github.com/apache/flink/pull/12260#discussion_r429716465,081a62a66ef0a1b687b10e6b41ed8066b0c7992d,cb99a301a3d1625909fbf94e8543e3a7b0726685
spark,29992,504358081,https://github.com/apache/spark/pull/29992#discussion_r504358081,None,None
kafka,9001,462716040,https://github.com/apache/kafka/pull/9001#discussion_r462716040,None,None
arrow,8648,567582052,https://github.com/apache/arrow/pull/8648#discussion_r567582052,3395ba6a84e0d4bb8bcfa2bc63e38f20061f96e4,e4a4cb3c946fc356d617bc46380e259b71d4a0da
storm,2911,283128941,https://github.com/apache/storm/pull/2911#discussion_r283128941,f1dc5c135da81971d180b02a0c593605e0a6d3e3,d4673b0ee01faec6d4cb8ece5032549b7302d5a5
samza,230,124421458,https://github.com/apache/samza/pull/230#discussion_r124421458,None,None
kafka,6521,273258127,https://github.com/apache/kafka/pull/6521#discussion_r273258127,f2a556bfd23ffbf44f817eab305614e5d466f540,61e86c8d43c85402f07f56bba4ffac27ce9b177b
camel-quarkus,1526,672675824,https://github.com/apache/camel-quarkus/pull/1526#issuecomment-672675824,159ca4a027ba5ee2728ea44f8dd196c278d10da5,0422219d7ed6a775208d5417f6ac39aea200a6a2
apisix-dashboard,979,543388564,https://github.com/apache/apisix-dashboard/pull/979#discussion_r543388564,a5787df9ebffaeba86b5531a9c0efe020dfa8a97,d220c2a6043ca2d24879502df6105afd5a72cb39
nifi,4824,576641177,https://github.com/apache/nifi/pull/4824#discussion_r576641177,7cc816ebdf17f99ba58b147a8233b89db24e294a,efa64dad054390339c9d5cb3481beba250123107
iceberg,933,411434730,https://github.com/apache/iceberg/pull/933#discussion_r411434730,ce4e88cc7e731bdd4792c089883b9280e400f023,ad27b357f64f0899513228927516afa7e52c7248
drill,996,146815141,https://github.com/apache/drill/pull/996#discussion_r146815141,1eba3a7234fbcf61659a1667aebc5034081b4984,9b9f0bbca2ce64a949eeb4b122df46b0656a3c97
spark,13967,229733872,https://github.com/apache/spark/pull/13967#issuecomment-229733872,8a639bcc0ea70fd232a718e8ef164be20821b800,c0dac4bacbd07d244ea716db076b7a638be31837
trafodion,604,234079094,https://github.com/apache/trafodion/pull/604#issuecomment-234079094,8bd915084179a3c6f4a79bf0e0cbca3686479979,59cd8319eca75486171dc7fc6f6c883dbace0fba
kafka,4001,333581688,https://github.com/apache/kafka/pull/4001#issuecomment-333581688,None,None
airflow,1488,222606343,https://github.com/apache/airflow/pull/1488#issuecomment-222606343,None,None
incubator-pinot,4397,307084550,https://github.com/apache/incubator-pinot/pull/4397#discussion_r307084550,a947a0e15d87cabda241ed89ddbe7b23a4bd36a8,40324ddaa964efb4a2881233b70a9fbdc255e225
spark,28661,635693433,https://github.com/apache/spark/pull/28661#issuecomment-635693433,None,None
nifi,914,75858615,https://github.com/apache/nifi/pull/914#discussion_r75858615,None,None
tvm,4847,584462639,https://github.com/apache/tvm/pull/4847#issuecomment-584462639,d6301d665416b6c24c9ac9181051fd883a1bf446,adbe5a27cc42a16556fb1317b05603414dec1221
spark,24043,292472811,https://github.com/apache/spark/pull/24043#discussion_r292472811,da35351236e7bc09075532daaf2ee40fc685b509,a6fc2d0d3b542c402e426ff125ff42822ddb4b7c
beam,1278,86889887,https://github.com/apache/beam/pull/1278#discussion_r86889887,None,None
druid,3928,106563776,https://github.com/apache/druid/pull/3928#discussion_r106563776,None,None
camel,3381,561470632,https://github.com/apache/camel/pull/3381#issuecomment-561470632,None,None
flink,11047,379996777,https://github.com/apache/flink/pull/11047#discussion_r379996777,b1f4018140c5b3b881de6da6d5f69422a4b09831,cf9cc838d9ecf48feb00e397186704ebb225ba18
spark,15009,106230108,https://github.com/apache/spark/pull/15009#discussion_r106230108,c17f15f3994ba0cba4be63519f33ce4429adf489,026d026b8b186ce690399f8b768826edc0a6aefd
flink,7123,236347738,https://github.com/apache/flink/pull/7123#discussion_r236347738,None,None
incubator-heron,1728,281558138,https://github.com/apache/incubator-heron/pull/1728#issuecomment-281558138,None,None
gobblin,2015,129176332,https://github.com/apache/gobblin/pull/2015#discussion_r129176332,c0c9b056d047cebf352118a395db607c6d6caec9,c8acad3ca8e7aa5596c4685c9a99e085b3d42ba0
bookkeeper,888,352890209,https://github.com/apache/bookkeeper/pull/888#issuecomment-352890209,None,None
cloudstack,2058,139283005,https://github.com/apache/cloudstack/pull/2058#discussion_r139283005,None,None
netbeans,2324,511329375,https://github.com/apache/netbeans/pull/2324#discussion_r511329375,48f32eb7d79074465559e5a4ce016a486c98c113,903433f01b1578cde184f6ea85f3c651e42b7e5f
incubator-brooklyn,83,49760955,https://github.com/apache/incubator-brooklyn/pull/83#issuecomment-49760955,None,None
ignite,8048,480182091,https://github.com/apache/ignite/pull/8048#discussion_r480182091,6dda21f04249ebf697af882cc29a86746a99569f,1c30d517f13bfbe7e50656c938cd27ca45b0da13
spark,25628,319461063,https://github.com/apache/spark/pull/25628#discussion_r319461063,None,None
brooklyn-server,835,142912453,https://github.com/apache/brooklyn-server/pull/835#discussion_r142912453,None,None
spark,448,11813558,https://github.com/apache/spark/pull/448#discussion_r11813558,None,None
spark,22847,228600757,https://github.com/apache/spark/pull/22847#discussion_r228600757,188a9476e3504c151ebe27b362a080469c262674,ee986ccb4ec48337434f68a3e16953e6ebc2f67f
spark,30204,516533952,https://github.com/apache/spark/pull/30204#discussion_r516533952,cf4f668f880a295b96724060cdb29172278a6900,1e3ac78282409047a920fae31ccdcddb9b8210af
qpid-dispatch,1097,608990009,https://github.com/apache/qpid-dispatch/pull/1097#discussion_r608990009,None,None
lucene-solr,2423,581247428,https://github.com/apache/lucene-solr/pull/2423#discussion_r581247428,6f1f55d811d34fc34a2eb046872e8a85bc70d2f6,3de2b03862c922bb1f58b28c583bc5add690a90d
