Project,Pull Number,Pull type,ID,Category,Diffs available,LOC Added,LOC Removed,Files changed,Files excluded,Files included,Mean complexity difference
beam,1974,review,100887469,Readability,No
flink,8446,review,285160885,ArchitecturalFlaw,No
flink,2363,comment,240791329,BugProne,No
spark,29795,review,493190061,Convention,No
tinkerpop,144,summary,0,PoorPerformance,Yes,107,20,17,"{'.asciidoc': 3, '.xml': 14}",0,0
flink,14084,review,554882968,ArchitecturalFlaw,No
spark,31905,comment,811106021,ArchitecturalFlaw,No
accumulo,332,comment,368365644,Convention,No
cloudstack,1705,summary,0,PoorOutput,Yes,4,4,3,{},3,1
spark,18567,comment,313762412,PoorTesting,No
incubator-pinot,5769,review,467200428,PoorOutput,No
beam,13137,review,522334301,PoorTesting,No
arrow,6103,summary,0,PoorOutput,Yes,7,2,2,{},2,0
groovy,480,comment,275655612,BugProne,No
pulsar,3019,review,243864237,Convention,No
beam,5384,review,189163677,DeadDocs,No
zeppelin,2706,comment,353205540,PoorTesting,No
druid,3939,review,102355893,Convention,No
trafodion,115,summary,0,NonCodeArtifact,Yes,964,484,60,"{'.version': 5, '.properties': 5, '.pm': 1, '.h': 4, '.lng': 1, '.ui': 13, '.data': 1, '.xml': 1, '.xsl': 1}",16,0
trafodion,644,review,73953757,PoorPerformance,No
spark,26108,review,334704586,DeadCode,No
incubator-mxnet,8015,review,141497578,BugProne,No
kafka,2937,summary,0,PoorTesting,Yes,84,33,6,{},6,-1
incubator-heron,3032,comment,437498318,PoorTesting,No
storm,128,comment,45091287,NotSATD,No
zeppelin,3497,comment,548180234,PoorTesting,No
carbondata,432,summary,0,BugProne,Yes,233,167,30,{'.xml': 2},26,9
spark,21476,review,192476723,NotSATD,No
superset,12626,summary,0,MissingDocs,Yes,309,336,54,"{'.mdx': 5, '.png': 29, '.json': 1}",0,0
spark,3246,review,22343430,DeadCode,No
jena,151,comment,252431461,ArchitecturalFlaw,No
flink,6159,review,195443441,Convention,No
trafficserver,2300,comment,318132384,ArchitecturalFlaw,No
apisix,2036,review,487762501,MissingDocs,No
kafka,3325,review,128649545,PoorPerformance,No
spark,8093,review,36782853,BugProne,No
carbondata,2836,comment,431731434,BugProne,No
superset,10728,review,479692093,DeadCode,No
drill,1892,review,363140288,PoorPerformance,No
beam,6676,review,233138480,MissingDocs,No
spark,4363,review,24212525,Convention,No
spark,23181,review,237952522,Convention,No
flink,7759,review,258458285,ArchitecturalFlaw,No
spark,12241,comment,207105529,BugProne,No
druid,1535,summary,0,PoorTesting,Yes,44,20,2,{'.md': 1},1,0
spark,13565,review,66319324,BugProne,No
incubator-doris,3587,review,425210765,PoorOutput,No
spark,20194,review,161000312,Convention,No
spark,1218,review,15828037,DeadCode,No
flink,4364,review,128512830,PoorTesting,No
druid,3956,comment,281423634,BugProne,No
trafficserver,6379,review,373984797,Duplicate,No
spark,7626,review,35370290,NotSATD,No
incubator-pinot,6004,review,496927468,NotSATD,No
nifi,4303,review,432322027,NotSATD,No
shardingsphere-elasticjob,1608,summary,0,Readability,Yes,74,64,24,"{'.md': 1, '.properties': 1, '.xml': 1, '.yml': 1}",19,0
spark,19143,comment,327427666,PoorTesting,No
trafficserver,866,comment,240594556,BugProne,No
incubator-heron,176,review,56283550,ArchitecturalFlaw,No
spark,8531,review,48378751,PoorPerformance,No
spark,9353,review,43474236,Convention,No
nifi-minifi-cpp,924,comment,732347261,NonCodeArtifact,No
superset,13210,review,582436382,Readability,No
hive,1780,comment,761269576,Readability,No
spark,3651,review,21697554,NotSATD,No
flink,6173,review,196042694,ArchitecturalFlaw,No
activemq-artemis,2012,comment,380818801,PoorPerformance,No
kafka,1908,comment,250894831,NotSATD,No
spark,23062,review,234404871,ArchitecturalFlaw,No
carbondata,4078,comment,787036665,NotSATD,No
pulsar,5032,review,317796702,ArchitecturalFlaw,No
spark,11620,review,56418491,Convention,No
incubator-heron,1820,review,113760959,Readability,No
activemq-artemis,2558,comment,472853473,NotSATD,No
tinkerpop,712,review,140818483,BugProne,No
hawq,1321,summary,0,PoorPerformance,Yes,267,62,3,{'.h': 1},2,-18
drill,1953,review,379551973,MissingDocs,No
orc,570,review,528911518,ArchitecturalFlaw,No
calcite,2286,review,534475582,Duplicate,No
openwhisk,3449,comment,373702523,NotSATD,No
spark,15971,review,89209660,BugProne,No
beam,539,comment,228871382,MissingDocs,No
nifi-minifi-cpp,1040,review,605509404,DeadCode,No
flink,592,comment,92341849,NotSATD,No
spark,2685,comment,61052515,ArchitecturalFlaw,No
cxf,561,comment,498837564,Duplicate,No
hive,2111,review,607667423,MissingDocs,No
skywalking,5293,comment,673764279,MissingDocs,No
druid,6230,description,0,ArchitecturalFlaw,Yes,441,335,19,{},17,-6
attic-stratos,192,review,23697450,Convention,No
spark,15148,comment,259376702,ArchitecturalFlaw,No
nifi,4767,review,561227339,Readability,No
flink,966,comment,126706999,PoorTesting,No
ignite,6392,summary,0,PoorPerformance,Yes,19,4,4,{},3,-3
hbase,1482,review,416140357,MissingDocs,No
spark,24807,comment,500879466,ArchitecturalFlaw,No
parquet-mr,808,comment,672774756,ArchitecturalFlaw,No
couchdb,2426,description,0,BugProne,Yes,23,12,2,{'.erl': 2},0,0
beam,4910,review,175947778,PoorOutput,No
spark,23982,review,263647807,Readability,No
lucene-solr,2229,review,562524364,NotSATD,No
flink,9748,review,328404835,MissingDocs,No
superset,8867,review,360617020,MissingDocs,No
tvm,4144,summary,0,Readability,Yes,1,1,1,{},1,0
hadoop,1881,review,388858948,Readability,No
flink,5367,review,165039357,Duplicate,No
druid,10070,review,445155089,Convention,No
trafodion,294,comment,178076645,NotSATD,No
tvm,1403,review,201886571,PoorOutput,No
kafka,7799,review,364476808,DeadCode,No
netbeans-website,473,review,430013474,PoorPerformance,No
netbeans,968,comment,430955215,NonCodeArtifact,No
skywalking,5685,comment,711190648,PoorTesting,No
airflow,1270,description,0,Convention,Yes,14,2,2,{},2,0
zookeeper,924,review,299043313,DeadCode,No
superset,5946,description,0,DeadCode,Yes,19,41,15,"{'.json': 1, '.lock': 1}",11,1
spark,3099,review,20111063,MissingDocs,No
phoenix,516,review,292095594,NotSATD,No
hadoop,802,review,291163702,Readability,No
beam,10455,review,362682454,Convention,No
pulsar,5592,description,0,BugProne,Yes,6,1,1,{},1,0
spark,5760,review,29388845,NotSATD,No
arrow,7885,review,465480283,PoorTesting,No
storm,215,review,15836939,DeadCode,No
phoenix,936,comment,724872173,NotSATD,No
hudi,1664,description,0,PoorPerformance,Yes,7,2,4,{'.commands': 1},3,0
openwhisk,1071,review,75486973,Readability,No
pulsar,2888,comment,441582678,Duplicate,No
airflow,8875,review,426287475,MissingDocs,No
superset,5445,comment,457472346,NotSATD,No
flink,5901,comment,387376186,PoorTesting,No
kafka,241,review,40615287,Readability,No
dubbo,3162,review,245860102,DeadCode,No
beam,13592,comment,749735258,PoorPerformance,No
geode-native,56,description,0,Convention,Yes,35,42,3,{},0,0
storm,1783,comment,263910453,MissingDocs,No
spark,15627,review,85951050,PoorTesting,No
incubator-mxnet,11502,review,200206922,MissingDocs,No
spark,204,review,11469526,PoorOutput,No
attic-apex-core,479,review,108591304,Readability,No
dubbo,2741,summary,0,PoorTesting,Yes,8,1,1,{},1,-1
spark,1222,review,15478958,ArchitecturalFlaw,No
nifi,3894,review,365769826,DeadCode,No
pulsar,366,comment,296908563,Readability,No
kafka,6536,review,275588869,Readability,No
calcite,1075,review,261510267,Convention,No
pulsar,7601,description,0,NotSATD,Yes,39,0,3,{},3,-5
zeppelin,2753,summary,0,Convention,Yes,658,541,61,"{'.xml': 2, '.properties': 1}",43,0
flink,1640,review,52993965,PoorPerformance,No
airflow,4751,review,346970934,PoorPerformance,No
beam,5028,review,181501125,PoorPerformance,No
spark,17582,comment,294933906,ArchitecturalFlaw,No
spark,20787,review,175982564,Convention,No
kafka,8706,review,432145121,DeadCode,No
nifi,3260,summary,0,PoorTesting,Yes,0,3,1,{},1,0
dubbo,1906,description,0,PoorTesting,Yes,240,3,3,{},2,-2
airflow,5010,review,272785021,NotSATD,No
kafka,6517,comment,484309340,BugProne,No
druid,4815,review,146068538,PoorTesting,No
airflow,5661,review,307279581,BugProne,No
qpid-dispatch,1047,description,0,BugProne,Yes,41,4,1,{},1,-8
tomee,713,comment,734780620,NotSATD,No
flink,6236,review,241972720,Convention,No
calcite,2369,review,593096896,PoorTesting,No
fineract,1458,comment,718052221,PoorPerformance,No
helix,1447,comment,704707243,PoorTesting,No
shardingsphere,3158,review,329463176,Convention,No
drill,819,review,113834302,PoorTesting,No
spark,10993,review,51332430,DeadCode,No
flink,14839,review,586411292,PoorOutput,No
nifi,3536,review,300057978,DeadCode,No
cloudstack,768,review,39469736,DeadCode,No
drill,1251,review,187210052,DeadDocs,No
spark,16152,description,0,Duplicate,Yes,1,15,1,{},0,0
spark,4690,review,25098634,PoorOutput,No
hbase,2167,summary,0,PoorPerformance,Yes,21,28,1,{},1,-1
spark,15573,description,0,PoorPerformance,Yes,119,68,5,{},1,0
hadoop,2556,summary,0,PoorPerformance,Yes,1,1,1,{'.xml': 1},0,0
kafka,2320,review,94887536,ArchitecturalFlaw,No
beam,8270,review,274875921,ArchitecturalFlaw,No
beam,10227,comment,558882339,ArchitecturalFlaw,No
airflow,2372,review,140193220,Duplicate,No
spark,23747,review,269640058,DeadCode,No
cloudstack,1578,review,77754965,Convention,No
spark,15237,review,90548133,Readability,No
phoenix,508,review,285231247,BugProne,No
incubator-mxnet,15277,review,296085060,Convention,No
spark,28641,review,435012863,BugProne,No
flink,879,comment,118008845,DeadCode,No
ozone,1233,review,482676002,Convention,No
carbondata,1321,review,138830621,PoorPerformance,No
cloudstack,1572,comment,253562333,PoorTesting,No
openwhisk,4870,review,399976882,PoorPerformance,No
spark,5355,review,28042923,Convention,No
trafficcontrol,3601,review,297263939,BugProne,No
cloudstack,2594,description,0,DeadCode,Yes,0,253,3,{'.xml': 1},1,0
flink,9866,review,333911282,NotSATD,No
jena,337,review,159239355,DeadCode,No
airflow,11132,review,495856534,PoorOutput,No
flink,1052,comment,134567455,PoorPerformance,No
iceberg,1793,review,553700047,ArchitecturalFlaw,No
flink,6076,review,192981069,Readability,No
storm,1781,comment,262494323,ArchitecturalFlaw,No
trafodion,1036,review,109077021,Convention,No
spark,1484,review,23672440,Readability,No
spark,28952,review,447482241,ArchitecturalFlaw,No
spark,13410,review,65192185,DeadCode,No
fineract,810,comment,623127986,MissingDocs,No
spark,30392,comment,729168362,PoorPerformance,No
spark,4588,review,26089697,Convention,No
arrow,4515,description,0,ArchitecturalFlaw,Yes,80,62,22,"{'.md': 1, '.Rmd': 1, '.Rd': 4, '.R': 13}",0,0
spark,4105,comment,103159431,Duplicate,No
ignite,6069,summary,0,PoorTesting,Yes,69,12,6,{},5,-4
